,time,x,y,z,xdot,ydot,zdot,qx,qy,qz,qw,wx,wy,wz,windx,windy,windz,r1,r2,r3,r4,xdes,ydes,zdes,xdotdes,ydotdes,zdotdes,xddotdes,yddotdes,zddotdes,xdddotdes,ydddotdes,zdddotdes,xddddotdes,yddddotdes,zddddotdes,yawdes,yawdotdes,ax,ay,az,ax_gt,ay_gt,az_gt,gx,gy,gz,mocap_x,mocap_y,mocap_z,mocap_xdot,mocap_ydot,mocap_zdot,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_wx,mocap_wy,mocap_wz,r1des,r2des,r3des,r4des,thrustdes,qxdes,qydes,qzdes,qwdes,mxdes,mydes,mzdes
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.53,1788.53,1788.53,1788.53,1.0,0.0,0.0,-0.0,1.2566370614359172,1.2566370614359172,-1.5791367041742972,-0.0,-0.0,0.0,-1.9844017075391882,1.9844017075391882,2.493672730470462,0.0,0.0,0.0,0.0,0.8955714439778182,2.1008806819054144,141.85129841843474,0.0,0.0,142.540290833704,-3.660477848757239e-05,-7.65635584515269e-05,0.00038690251987877306,0.000566708525437135,-0.006631303226981342,0.0018888939613508453,0.006300551931051651,-0.0024227836465164064,0.004081809996123302,0.0002708147052249991,0.00040497284940717076,-0.0042630052858358015,0.9999907946787908,0.0045138547567446586,0.0018014645476670877,-0.0039804423877542894,-196.14030079106243,812.6568255565593,791.5667861677939,804.567425728219,10.559866776461629,-0.11583893661583108,0.11046155065684621,-0.012964001332267472,0.9870215404233361,-0.45404923949923987,0.4365303867982485,-0.09787007430439144
1,0.01,0.0,0.0,0.0,0.0,0.0,1.32730290833704,0.0,0.0,0.0,1.0,0.0,-9.694455805196546e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999210442038161,0.012566039883352607,0.012566039883352607,-0.015790951432902756,1.2565378426562175,1.2565378426562175,-1.579012022178536,-0.019843494805920205,-0.019843494805920205,0.024936071001530457,-1.9842450275224208,1.9842450275224208,2.4934758405546056,0.031335590987120625,0.031335590987120625,0.0,0.0,-0.5785385025483395,0.5413819261231801,-0.8834197693582801,0.0,0.0,-0.035234660209599866,-0.0018050939648105928,-0.00020265940859020957,-0.00023550687920028703,0.00022277763988905362,-0.0010452654566379955,-0.0018352916585935906,-0.005388444289248162,0.0009813128521422966,1.3344285062350922,0.0022137174574463486,0.0031676159270666955,-0.0019931468539628548,0.9999905464703033,0.002140965820944733,0.006837065059521137,-0.006275100869621916,-1057.7576528272798,977.2427284263732,376.1195351453086,927.879426346995,4.670880756158484,-0.24114830595655623,0.20596605986355832,-0.05245205709295581,0.9469288560527034,-0.9068246696564,0.7808897569980646,-0.3798954541395925
2,0.02,0.0,0.0,0.0132730290833704,0.0,0.0,1.228850561734944,0.0,-4.847227902598273e-18,0.0,1.0,0.0,-9.694455805196546e-16,0.0,0.0,0.0,0.0,0.0,1500.0,752.2390702906173,1500.0,0.9996841892832999,0.02513009544333748,0.02513009544333748,-0.03157940929151974,1.2562402019849133,1.2562402019849133,-1.5786379958799845,-0.03968385609397747,-0.03968385609397747,0.04986820430838167,-1.9837750122137094,1.9837750122137094,2.4928852018982366,0.0626662337211707,0.0626662337211707,0.0,0.0,-0.6644784174761252,0.9484445390623647,53.81992514665492,-1.0785127805067474e-17,0.0,54.26404257473837,-0.0004861016835377974,0.0012929311545666147,6.33336045930497e-05,-0.00018924652526733365,-0.003218547058533248,0.018388411852352567,0.006301089456381495,0.008946246755010628,1.2242464821444328,0.0008560998550903124,0.00028656208646147375,-0.0006814525076291861,0.9999993602986397,-0.0002072701941102002,-0.007121967986496344,0.00046362562731869244,-989.6024880198005,943.102288764338,458.8302340008419,891.3403986268662,5.097339450777627,-0.22714909951246842,0.19199556828949116,-0.04573123136367777,0.9536506922483892,-0.8602449021700375,0.733089917784959,-0.33356958461836217
3,0.03,0.0,0.0,0.02556153470071984,-5.3684549035717245e-18,0.0,1.6733909874823276,0.0,-9.694455805196547e-18,0.0,1.0,-0.9673963569865289,0.9595099736415285,-0.7610847053107395,0.0,0.0,0.0,0.0,386.20457752867605,165.42139771106656,282.6807972537324,0.9992894726405892,0.03769018266993454,0.03769018266993454,-0.047362880395329474,1.2557441864229175,1.2557441864229175,-1.5780146843417315,-0.05951795084112765,-0.05951795084112765,0.07479246284768203,-1.9829917358339202,1.9829917358339202,2.491900907770046,0.09398698073046616,0.09398698073046616,0.0,0.0,0.5718849986673478,0.3250491383975276,0.9640464070088799,0.005856088578036369,-0.0013477762761532003,2.1354173500504725,-0.967405989706501,0.9588156022930707,-0.7610528293326075,0.00154786837770212,-0.0009246124843328304,0.016935330300130766,0.01291233044049532,0.007394569172810437,1.6701087767332965,0.0025009516887432525,-0.0026050304211322596,0.0019580984712130574,0.99999156241817,-0.9675105844514198,0.9642622362442889,-0.7616108175550617,-1096.9115207316502,968.9894533192823,328.0999959066629,843.0937034291195,3.0867952795812013,-0.33131225058191527,0.24579987353794722,-0.08983609273020968,0.9065010155681265,-1.0304506344085105,0.7249526796821506,-0.373362544935175
4,0.04,-5.3684549035717245e-20,0.0,0.042295444575543115,5.856088578035791e-05,-1.3477762761532003e-05,1.5966451609828323,-0.004836834519769787,0.0047974038035759935,-0.003805307667875642,0.9999695543275939,-1.1005530273915989,0.8793660497989633,-0.7969586044040002,0.0,0.0,0.0,0.0,1500.0,490.77859410225926,1403.5066096045066,0.9987369566060175,0.050244318179769556,0.050244318179769556,-0.06313887235127685,1.255049874296837,1.255049874296837,-1.5771421859918946,-0.07934264701388602,-0.07934264701388602,0.09970491079007698,-1.9818953220714732,1.9818953220714732,2.490523113601487,0.1252928861059726,0.1252928861059726,0.0,0.0,0.5053675161584337,-0.6370332323685145,46.665975211011485,0.025913341323728908,0.0037924593950999183,47.07187620464688,-1.0998551584184773,0.8797187063003291,-0.7961939289315569,0.00045166997407301217,0.0008123164202692089,0.038178565461675806,0.01242274145483099,0.010273315826288952,1.6063997358671769,-0.006593102940385008,0.006290514213620388,-0.0024021539944028966,0.9999555940544226,-1.1017067583951492,0.8841486990055308,-0.8015115331190766,-984.0445624764889,874.9187706123139,501.5952930028948,753.6646510246095,3.435283009070869,-0.3144436976313519,0.23292494759877289,-0.07989009933321005,0.9167817089332453,-0.9490428750008151,0.6846038017251551,-0.2788325209116943
5,0.05,5.856088578035254e-07,-1.3477762761532003e-07,0.058261896185371434,0.0048516079428625025,0.004558712201217004,1.9692173859014082,-0.010341478858731962,0.009195465012342351,-0.007784592217478566,0.9998739407356452,-1.9634611901152188,0.7651887934063151,-1.5533841875776293,0.0,0.0,0.0,0.0,249.83754122462778,512.4119919035303,103.8226924447124,0.9980267284282716,0.06279051952931337,0.06279051952931337,-0.07890489394735094,1.2541573752466053,1.2541573752466053,-1.576020638608077,-0.09915481406291177,-0.09915481406291177,0.1246016141712422,-1.9804859440628118,1.9804859440628118,2.48875203696223,0.15657900628232174,0.15657900628232174,0.0,0.0,-0.030325488970456685,-0.9989407708170237,3.2320453290507016,0.03628802682979021,-0.008069338443904308,2.785969090584308,-1.9643857394848083,0.7659405007477236,-1.5521953018894874,0.00013173306872409126,-0.002754886916113374,0.06093447221494403,0.0024732781015139407,-0.0023739390566186597,1.9600446326374883,-0.010559572689260178,0.007121492336184182,-0.007720087282867204,0.9998890838607404,-1.9619005438608486,0.7671238103121364,-1.5529082198075232,-1187.5254642174082,1008.4776190705999,143.73424951348494,830.6204062151336,1.7679189675409337,-0.45942614609279736,0.2713594800712622,-0.14977461346733995,0.8323816516613534,-1.17706744132688,0.7390458942223325,-0.4211259803053657
6,0.060000000000000005,4.910168828642855e-05,4.5452344384554726e-05,0.07795407004438551,0.005729928719100209,0.005044487416479689,1.8989614722741874,-0.0201974540169983,0.013015913917284383,-0.015498497570246163,0.999591139120988,-2.4132128022040518,1.1133736391341178,-1.5099584044134329,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,0.9971589002606139,0.07532680552793272,0.07532680552793272,-0.09465845554597618,1.253066830208169,1.253066830208169,-1.5746502192956127,-0.11895132341735791,-0.11895132341735791,0.14947864151310206,-1.9787638243650614,1.9787638243650614,2.486587957525808,0.1878404008184575,0.1878404008184575,0.0,0.0,0.04942862297475015,0.2553854265814539,48.34066828000424,0.03126793609368468,0.052944350388875766,47.419130636014735,-2.4128887836365944,1.1131270065940273,-1.509217318462257,0.0035417498170400435,0.0031904661115652465,0.07901025304325851,0.005533835569900838,0.007867710824183988,1.8992894994329492,-0.020416663674297293,0.010382413705101116,-0.01607275090548179,0.9996084393443251,-2.412857625547176,1.112038262105776,-1.513702277769652,-1054.3022741869095,901.0068290164526,391.10358409085273,721.7866587845978,2.084282942807729,-0.4367585067654345,0.2625414327296877,-0.13493945227068602,0.8497678195184599,-1.041400986963363,0.6519352506773675,-0.3116277559696945
7,0.07,0.00010640097547743064,9.589721854935161e-05,0.09694368476712739,0.018694369834319012,0.02451916008735425,2.274475696614295,-0.03226680582769431,0.018612851663545992,-0.02299790273164749,0.9990412961757759,-2.362036512238168,1.1822492306935388,-2.358238208010653,0.0,0.0,0.0,0.0,302.01365803290514,782.2071681817055,0.0,0.9961336091431725,0.08785119655074318,0.08785119655074318,-0.1103970694771551,1.251778411391231,1.251778411391231,-1.573031144459597,-0.13872904897890898,-0.13872904897890898,0.1743320644446556,-1.9767292349208858,1.9767292349208858,2.484031217025451,0.21907213317778898,0.21907213317778898,0.0,0.0,0.7706532031189798,0.19049318938644919,8.885747646247829,0.09103861277857113,0.0022260407841921763,6.416962323546313,-2.3632291982078333,1.17976736580703,-2.3581161673129216,-0.0008181832526011888,0.004188429030857641,0.10154531927750475,0.021052656631851373,0.014803549414910506,2.279672972958977,-0.03251721926006194,0.021646454226056606,-0.02296115434366641,0.9989728959597646,-2.361145170348064,1.1830832620451077,-2.359307947477361,-1197.6428232010069,1075.2819717008927,-295.98730747318325,664.109626688185,0.41951065903550716,-0.6449622542768679,0.2452120565206086,-0.2305019991004838,0.6861221220057805,-1.3805843474020636,0.42286032868642376,-0.42421524369819763
8,0.08,0.0002933446738206208,0.00034108881942289415,0.11968844173327034,0.022085864132686425,0.02858061428687514,2.2403332778757687,-0.04414226957243394,0.02440575128281476,-0.03474326056227538,0.9981226002785519,-3.4094869635373937,2.075741578287477,-2.2446897550113487,0.0,0.0,0.0,0.0,1500.0,0.0,1328.2192533763703,0.9949510169813002,0.1003617148512149,0.1003617148512149,-0.12611825043130015,1.2502923222520586,1.2502923222520586,-1.5711636697707156,-0.1584848676154281,-0.1584848676154281,0.19915795832231195,-1.974382497015544,1.974382497015544,2.481082219200122,0.250269271507727,0.250269271507727,0.0,0.0,-0.25020312675930123,0.8388385637319037,41.70014445441621,0.06828330363341709,0.13019577894160142,41.68015939731143,-3.409395539589789,2.0747368101985146,-2.244741559434636,0.004473661387608442,0.0036863226965898038,0.11562424625862057,0.03408494358490801,0.026301405373730383,2.2301102045845673,-0.04288330084245269,0.022549820832881894,-0.03730720744288572,0.9981285991103923,-3.4069887306184907,2.075198181358336,-2.2401839463317996,-1129.1511518608543,1068.8703734198052,-427.5093770368948,645.9758985653303,0.568263350427824,-0.6389553048351477,0.24299186806888654,-0.22345900778382538,0.6948072699070474,-1.2168687030719414,0.2457410540569108,-0.4103820845950864
9,0.09,0.000514203315147485,0.0006268949622916455,0.14209177451202804,0.04443869806604144,0.06584673726303589,2.5567659267552547,-0.06105502265911212,0.03485269375061484,-0.04597567179857796,0.9964656599949094,-4.194190608659532,1.325099846529292,-2.989011226886239,0.0,0.0,0.0,0.0,637.7407468396104,0.0,0.0,0.9936113105200084,0.11285638487348168,0.11285638487348168,-0.14181951585169292,1.248608797461354,1.248608797461354,-1.5690480901248702,-0.17821565965413586,-0.17821565965413586,0.22395240284963686,-1.971723981226155,1.971723981226155,2.4777414297307634,0.28142688941848043,0.28142688941848043,0.0,0.0,1.0349354245150661,0.7610947736371187,4.355672315495022,0.07677842418643976,0.09893627179748649,3.555382816001748,-4.193760544267688,1.3256407970694197,-2.98908539515415,-0.00443163237731428,-0.004765193233748561,0.1447165713449254,0.04809315816684734,0.06479283459343566,2.542120827552964,-0.06031591459947239,0.035316378883164294,-0.044498674888056616,0.9965613938748666,-4.187696674184287,1.3309245394146492,-2.986283673386136,-797.2762319188926,748.0345282494792,389.15856079641446,-469.6693024916211,-0.808979017546962,0.8085852862996524,-0.1599855925939464,0.2561959964130961,-0.5049337148220285,-1.0493594106997008,0.004652678805900583,-0.11195131125572642
